Incident_ID,Incident_Text,Disaster_Type,Severity,Rainfall_mm,Humidity_percent,WindSpeed_kmph,Temperature_C,AQI,RiskScore
INC-00001,"The national disaster agency confirmed tsunami waves of 5.0 meters hit the Osaka coast, sweeping through harbor settlements and forcing 132391 people into emergency shelters.",Tsunami,High,25,96.2,23.6,26.9,39.2,96.2
INC-00002,"Unstable hillside terrain gave way above North Ridge near Mexico City, sending 7257 cubic meters of earth and boulders down onto a key access road, blocking it for 49 hours.",Landslide,High,277.6,83.2,22.5,22.9,19.8,90
INC-00003,"An earthquake measuring 4.4 on the Richter scale jolted Darwin early this morning, with the epicenter traced to the Anatolian Fault; emergency services are treating 8 injured persons.",Earthquake,Low,30.2,67.7,16.4,29.8,83,16.8
INC-00004,"Rescue operations are underway after a landslide struck Hillview Township, Ho Chi Minh City, releasing roughly 257 cubic meters of rock and mud onto residential structures below.",Landslide,Low,79.4,78.1,14.9,16.7,66,20.1
INC-00005,"A massive landslide loosened by saturated soil swept through Riverside Colony in the hills near Shimla, burying a stretch of road under 191 cubic meters of mud and rock.",Landslide,Low,59.5,75.5,3.9,18.8,69.4,23.1
INC-00006,"Fishermen and coastal residents near Chennai fled inland after tsunami waves of 2.9 meters were recorded approaching the shoreline, with 4830 people evacuated as a precaution.",Tsunami,Medium,18.9,89.3,46.5,19.1,25.4,51.9
INC-00007,"The Indus river breached its banks after days of incessant rain, flooding Highway Junction in Visakhapatnam and cutting off access roads; local authorities report 666 people affected.",Flood,Medium,171.8,79.5,20.1,22.2,69.5,63.9
INC-00008,"A wildfire fueled by dry vegetation and high temperatures has scorched 25 hectares of forest near Sunset District, Kochi; firefighters report the blaze is 90% contained.",Wildfire,Low,3.5,27,19.7,32.7,116.6,26.7
INC-00009,"A tsunami generated by offshore seismic activity sent waves of 8.3 meters crashing into the Itanagar coastline, damaging fishing harbors and displacing 185623 residents.",Tsunami,High,33.8,92.3,26.9,23.5,77.4,100
INC-00010,"Flash floods triggered by a sudden cloudburst inundated Sunset District near Athens, sweeping away vehicles and leaving roads under 0.6 m of water; rescue teams evacuated 680 residents.",Flood,Medium,184,85.3,21,26.4,42.2,59.5
INC-00011,"Coastal communities near Tokyo braced for Cyclone Fani, which brought gusts up to 113 km/h and forced mass evacuations along the shoreline.",Cyclone,Medium,115.7,88.5,115.4,25.5,39.8,63.3
INC-00012,"Coastal warning sirens sounded in Osaka as tsunami waves reaching 0.9 meters approached the shore, with civil authorities moving 1957 people to higher ground.",Tsunami,Low,48.2,81.9,37.1,32.2,71.3,20.3
INC-00013,"Thick smoke blanketed Bangkok as a wildfire burned through 86 hectares of dry grassland near Gandhi Nagar, prompting evacuation advisories for nearby residents.",Wildfire,Low,2.7,30.6,26.1,33.8,90.6,21.9
INC-00014,"Forest fire crews are battling flames that have consumed 129 hectares of woodland close to Hillview Township, Athens, amid low humidity and gusty winds; containment stands at 55%.",Wildfire,Medium,2.3,15.8,28,38.6,300.2,58.2
INC-00015,"Slope failure following days of heavy rain caused a landslide near Guwahati, with 13577 cubic meters of debris crashing into Slum Cluster near the canal and cutting off mountain access for 63 hours.",Landslide,High,281.4,96.4,24.7,22.7,45.4,94.6
INC-00016,"Forest fire crews are battling flames that have consumed 359 hectares of woodland close to Gandhi Nagar, Tokyo, amid low humidity and gusty winds; containment stands at 36%.",Wildfire,Medium,4.2,24.9,37.4,39,234.4,50.9
INC-00017,"Flash floods triggered by a sudden cloudburst inundated Highway Junction near Darwin, sweeping away vehicles and leaving roads under 0.3 m of water; rescue teams evacuated 139 residents.",Flood,Low,49.9,67.9,12.6,29.9,68.2,20.3
INC-00018,"Rescue teams worked through the night after a multi-level parking structure in Greenfield Township near Bangkok caved in, with around 1 people feared trapped inside the debris.",Building Collapse,Low,17.2,55.6,9,18.4,151.5,6
INC-00019,"Coastal warning sirens sounded in Cairo as tsunami waves reaching 8.1 meters approached the shore, with civil authorities moving 124863 people to higher ground.",Tsunami,High,35.9,96.8,17.7,32.5,59.4,100
INC-00020,"An industrial accident at a factory in Harbor Front near Hanoi caused a leak of methyl isocyanate, forcing emergency teams to evacuate 302 residents within 0.3 km of the site.",Chemical Leak,Low,14.5,40.7,12.7,21,108.1,19.7
INC-00021,"Rescue teams worked through the night after a under-construction apartment block in Greenfield Township near New Orleans caved in, with around 5 people feared trapped inside the debris.",Building Collapse,Low,101.1,43.6,19.2,25,75.8,17.5
INC-00022,"Buildings swayed and power lines snapped as a 4.3 magnitude earthquake rattled Hanoi, linked to movement along the Anatolian Fault; local hospitals have admitted 2 patients.",Earthquake,Low,37.7,69.6,21.3,33.5,64.3,16.8
INC-00023,"Slope failure following days of heavy rain caused a landslide near Surat, with 1265 cubic meters of debris crashing into Industrial Estate Phase 2 and cutting off mountain access for 64 hours.",Landslide,Medium,193.6,91.2,14,16.9,44.9,62
INC-00024,"Rescue teams worked through the night after a school building in Foothill Settlement near Darwin caved in, with around 217 people feared trapped inside the debris.",Building Collapse,High,21.5,58.3,13.7,35.6,83,77.5
INC-00025,"Continuous rainfall triggered a landslide on the hill slopes above Pine Valley near Guwahati, dumping an estimated 1150 cubic meters of debris and blocking the highway for 25 hours.",Landslide,Medium,185.7,85.3,15.3,25.6,56.5,62.1
INC-00026,"A bridge overpass in Hillview Township, Coimbatore, collapsed suddenly, trapping an estimated 10 people under the rubble; the 36-year-old structure had reportedly shown cracks in recent weeks.",Building Collapse,Medium,0.1,54.5,8.5,12.5,110.7,43.9
INC-00027,"An earthquake measuring 4.7 on the Richter scale jolted Mangalore early this morning, with the epicenter traced to the Ring of Fire subduction zone; emergency services are treating 10 injured persons.",Earthquake,Low,0,63,16.8,28,141.2,15.4
INC-00028,"Emergency responders rushed to Model Town, Istanbul, after a industrial solvent leak from an industrial unit spread toxic fumes, leading to the evacuation of 442 people within 0.4 km.",Chemical Leak,Low,20.5,36.1,9.7,27,67.4,17.1
INC-00029,"The national disaster agency confirmed tsunami waves of 11.4 meters hit the Kolkata coast, sweeping through harbor settlements and forcing 75138 people into emergency shelters.",Tsunami,High,45.6,94.6,32.2,29.2,77.4,94.1
INC-00030,"Structural failure caused a school building to collapse in East End, Houston; officials say the 49-year-old building lacked recent safety inspections and 0 people are trapped.",Building Collapse,Low,76.8,62.7,21,31.5,60.6,22.6
INC-00031,"The Nile river breached its banks after days of incessant rain, flooding Harbor Front in Mangalore and cutting off access roads; local authorities report 126 people affected.",Flood,Low,5,68.9,15.5,29.9,47.7,19.9
INC-00032,"High-velocity winds of 158 km/h accompanying Cyclone Tauktae battered Shimla, toppling electricity poles and disrupting power supply for thousands of residents.",Cyclone,High,246.2,91.9,183.3,26.4,29.6,94.8
INC-00033,"Slope failure following days of heavy rain caused a landslide near Mangalore, with 5735 cubic meters of debris crashing into Riverside Colony and cutting off mountain access for 19 hours.",Landslide,High,273.3,82.7,29.5,15.1,76.6,89.8
INC-00034,"Rescue operations are underway after a landslide struck MG Road area, Ho Chi Minh City, releasing roughly 1900 cubic meters of rock and mud onto residential structures below.",Landslide,Medium,165.5,82.4,9.2,18.5,68.7,57.8
INC-00035,"Emergency responders rushed to Sector 12, Hanoi, after a chlorine gas leak from an industrial unit spread toxic fumes, leading to the evacuation of 381 people within 0.7 km.",Chemical Leak,Low,30,44.2,11.8,25.4,71.8,17
INC-00036,"Cyclone Nisarga intensified rapidly before striking Dehradun, with wind speeds reaching 77 km/h and storm surges damaging fishing boats and coastal huts.",Cyclone,Low,52.8,80.9,61.2,27,41.4,22.9
INC-00037,"A wildfire fueled by dry vegetation and high temperatures has scorched 89 hectares of forest near New Extension, Patna; firefighters report the blaze is 99% contained.",Wildfire,Low,2.3,32.9,27.7,37.2,125.5,20.4
INC-00038,"Continuous rainfall over the past two days has submerged low-lying parts of North Ridge, Houston, with waterlogging up to 3.4 m and 3236 families displaced to relief camps.",Flood,High,273.9,95.8,30.4,26,33.6,92.6
INC-00039,"Rescue operations are underway after a landslide struck Industrial Estate Phase 2, Lagos, releasing roughly 6425 cubic meters of rock and mud onto residential structures below.",Landslide,High,335.7,91.9,24.1,13.2,12.3,94.5
INC-00040,"Coastal warning sirens sounded in Puri as tsunami waves reaching 1.5 meters approached the shore, with civil authorities moving 618 people to higher ground.",Tsunami,Low,33.7,77.9,14.1,24.3,47.4,17.8
INC-00041,"A lightning-sparked wildfire near Gandhi Nagar, San Francisco, has grown to 11 hectares, with crews reporting only 99% containment due to shifting winds and arid conditions.",Wildfire,Low,3.8,35.2,23.2,29.6,135.4,13.6
INC-00042,"The Brahmaputra river breached its banks after days of incessant rain, flooding Industrial Belt in Ho Chi Minh City and cutting off access roads; local authorities report 4847 people affected.",Flood,High,271.4,96.5,34.8,24.3,41.8,95.9
